run_number;resolution_speed;coop_success;mean_after_bounce;bounce_back;mean_coop;std_coop;benefit;set_std;cost;synergy;trait_mut;set_mut;dir_exp;baseline;set_mean;total_sets;population;K_M_ratio;b_c_ratio
1;500;0,0000;0,00750000000000000;0,00750000000000000;0,1335000000000000;0,1774362170220925;0,1;2;10;0,00;0;0,00;0;10;12;150;200;0,08;0,01
2;500;0,0000;0,01000000000000000;0,01000000000000000;0,1444444444444445;0,1750079363279785;0,1;2;10;0,00;0;0,00;0;10;12;150;200;0,08;0,01
3;600;0,0000;0,00700000000000000;0,00700000000000000;0,1050000000000000;0,1527326838868247;0,1;2;10;0,00;0;0,00;0;10;12;150;200;0,08;0,01
4;500;0,0000;0,01000000000000000;0,01000000000000000;0,1240909090909091;0,1784070932140617;0,1;2;10;0,00;0;0,00;0;10;12;150;200;0,08;0,01
5;500;0,0000;0,01214285714285714;0,01214285714285714;0,0938461538461539;0,1485086115089212;0,1;2;10;0,00;0;0,00;0;10;12;150;200;0,08;0,01
6;500;0,0000;0,00666666666666667;0,00666666666666667;0,1238888888888889;0,1618212319540026;0,1;2;10;0,00;0;0,25;0;10;12;150;200;0,08;0,01
7;500;0,0000;0,01285714285714286;0,01285714285714286;0,0969230769230769;0,1451082708063543;0,1;2;10;0,00;0;0,25;0;10;12;150;200;0,08;0,01
8;500;0,0000;0,00700000000000000;0,00700000000000000;0,1045454545454545;0,1507722545008621;0,1;2;10;0,00;0;0,25;0;10;12;150;200;0,08;0,01
9;600;0,0000;0,01400000000000000;0,01400000000000000;0,1225000000000000;0,1698863256308866;0,1;2;10;0,00;0;0,25;0;10;12;150;200;0,08;0,01
10;600;0,0000;0,01214285714285714;0,01214285714285714;0,0957142857142857;0,1430419134763969;0,1;2;10;0,00;0;0,25;0;10;12;150;200;0,08;0,01
11;500;0,0000;0,01277777777777778;0,01277777777777778;0,0900000000000000;0,1499523733914015;0,1;2;10;0,00;0;0,50;0;10;12;150;200;0,08;0,01
12;500;0,0000;0,01000000000000000;0,01000000000000000;0,1054166666666667;0,1553216359882312;0,1;2;10;0,00;0;0,50;0;10;12;150;200;0,08;0,01
13;500;0,0000;0,01000000000000000;0,01000000000000000;0,1027272727272727;0,1463277765218148;0,1;2;10;0,00;0;0,50;0;10;12;150;200;0,08;0,01
14;600;0,0000;0,00875000000000000;0,00875000000000000;0,1268181818181818;0,1575479724920751;0,1;2;10;0,00;0;0,50;0;10;12;150;200;0,08;0,01
15;500;0,0000;0,00857142857142857;0,00857142857142857;0,0950000000000000;0,1483239697419133;0,1;2;10;0,00;0;0,50;0;10;12;150;200;0,08;0,01
16;600;0,0000;0,02000000000000000;0,02000000000000000;0,1320833333333333;0,1624731912617829;0,1;2;10;0,16;0;0,00;0;10;12;150;200;0,08;0,01
17;500;0,0000;0,00000000000000000;0,00000000000000000;0,1621428571428571;0,1712419619246682;0,1;2;10;0,16;0;0,00;0;10;12;150;200;0,08;0,01
18;500;0,0000;0,00642857142857143;0,00642857142857143;0,0988461538461538;0,1559667946251414;0,1;2;10;0,16;0;0,00;0;10;12;150;200;0,08;0,01
19;500;0,0000;0,01000000000000000;0,01000000000000000;0,1222222222222222;0,1543152437202639;0,1;2;10;0,16;0;0,00;0;10;12;150;200;0,08;0,01
20;500;0,0000;0,01333333333333333;0,01333333333333333;0,1466666666666667;0,1724456436098054;0,1;2;10;0,16;0;0,00;0;10;12;150;200;0,08;0,01
21;600;0,0000;0,00666666666666667;0,00666666666666667;0,0965384615384615;0,1450917039809739;0,1;2;10;0,16;0;0,25;0;10;12;150;200;0,08;0,01
22;500;0,0000;0,00583333333333333;0,00583333333333333;0,1158333333333333;0,1747053797024284;0,1;2;10;0,16;0;0,25;0;10;12;150;200;0,08;0,01
23;500;0,0000;0,01750000000000000;0,01750000000000000;0,1140000000000000;0,1377961457290362;0,1;2;10;0,16;0;0,25;0;10;12;150;200;0,08;0,01
24;500;0,0000;0,01400000000000000;0,01400000000000000;0,1140909090909091;0,1528368113678472;0,1;2;10;0,16;0;0,25;0;10;12;150;200;0,08;0,01
25;500;0,0000;0,01125000000000000;0,01125000000000000;0,1170000000000000;0,1617645751633459;0,1;2;10;0,16;0;0,25;0;10;12;150;200;0,08;0,01
26;500;0,0000;0,00250000000000000;0,00250000000000000;0,1275000000000000;0,1537623398067847;0,1;2;10;0,16;0;0,50;0;10;12;150;200;0,08;0,01
27;500;0,0000;0,01166666666666667;0,01166666666666667;0,1622222222222222;0,1955458883342844;0,1;2;10;0,16;0;0,50;0;10;12;150;200;0,08;0,01
28;500;0,0000;0,00750000000000000;0,00750000000000000;0,1140000000000000;0,1527125113116510;0,1;2;10;0,16;0;0,50;0;10;12;150;200;0,08;0,01
29;500;0,0000;0,00875000000000000;0,00875000000000000;0,1225000000000000;0,1684776608996642;0,1;2;10;0,16;0;0,50;0;10;12;150;200;0,08;0,01
30;500;0,0000;0,01166666666666667;0,01166666666666667;0,1170833333333333;0,1777313899391353;0,1;2;10;0,16;0;0,50;0;10;12;150;200;0,08;0,01
31;500;0,0000;0,01000000000000000;0,01000000000000000;0,1170833333333333;0,1628643933033264;0,1;2;10;0,33;0;0,00;0;10;12;150;200;0,08;0,01
32;400;0,0000;0,01500000000000000;0,01500000000000000;0,1400000000000000;0,1824314939915803;0,1;2;10;0,33;0;0,00;0;10;12;150;200;0,08;0,01
33;500;0,0000;0,01166666666666667;0,01166666666666667;0,0941666666666667;0,1314055715806002;0,1;2;10;0,33;0;0,00;0;10;12;150;200;0,08;0,01
34;500;0,0000;0,01000000000000000;0,01000000000000000;0,1054545454545455;0,1517309221196284;0,1;2;10;0,33;0;0,00;0;10;12;150;200;0,08;0,01
35;500;0,0000;0,00928571428571429;0,00928571428571429;0,0938461538461538;0,1409218732453353;0,1;2;10;0,33;0;0,00;0;10;12;150;200;0,08;0,01
36;500;0,0000;0,01357142857142857;0,01357142857142857;0,0900000000000000;0,1321142182608165;0,1;2;10;0,33;0;0,25;0;10;12;150;200;0,08;0,01
